Cluster,Mag_Range,N_Sample,f_bin_1g_mean,f_bin_1g_std,f_bin_2g_mean,f_bin_2g_std,ratio_mean,ratio_hdi_low,ratio_hdi_high,w_field_mean,fit_flag
NGC0288,19.0-21.5,3820,0.4347010809533073,0.04439130444476008,0.012278222944180297,0.007839928345426113,0.028676898130172445,0.0005665425248150457,0.06599222361707498,0.0032676574680601256,1
NGC0104,17.5-20,5000,0.29990170724344134,0.016899704495975016,0.08017093285501287,0.017039259646215048,0.269190250994246,0.1500286837569057,0.3955495474982657,0.009023786309667827,1
NGC0362,19.0-21.5,5000,0.25956179023329606,0.17979898649200804,0.25958751060246027,0.17533977967369763,2.860873251908334,0.08093342149106952,7.120051504464681,0.02009937038835335,3
NGC3201,19.0-21.5,3163,0.45507538165844946,0.06639027643631062,0.020373768151665635,0.012628179939944324,0.04640866931781619,0.0006556316995064373,0.10453256997887543,0.04857506441392652,1
NGC4590,19.0-21.5,5000,0.37941673408903503,0.046755254246629165,0.008805597647430984,0.006995516413961249,0.02287028035126167,0.0002978636907424841,0.0576882896144828,0.02726468354891466,1
NGC4833,19.0-21.5,5000,0.13181018482145446,0.11109767334479995,0.12658218692784168,0.10623047350756556,9.476857736729722,0.0038536488491404067,28.249218145125525,0.0032894701393323816
NGC5024,20-22.5,5000,0.5751769886612215,0.03156355630181181,0.07300967382955048,0.015612615778513935,0.1274683123798073,0.06960988957227413,0.18417242082037136,0.0033552825397978967,1
NGC6205,19-21.5,5000,0.32586557312968867,0.026073014747343096,0.046918604030409934,0.01352292576790709,0.14593130240238875,0.05426906010811369,0.2322783735207164,0.015716281774277845,1
NGC6341,19-21.5,5000,0.4564781690448007,0.03725882887632855,0.07356015548002086,0.017496291274192312,0.16144971768433863,0.08710517345346448,0.23125195827607575,0.02519590229378077,1
NGC6584,19.8-22.3,5000,0.3261556581847227,0.022920095491885686,0.02042769894306924,0.01122450927909109,0.06339657136689415,0.0024078352766900976,0.13012599776301031,0.021204855167710854,1
NGC6723,19-21.5,5000,0.20548284993263774,0.18500426458560965,0.19109858390482268,0.1816266580882073,12.323186468015281,0.00033503102434960123,38.61850419389434,0.006858323451038147,3
NGC6752,17.5-21,5000,0.15865054303881243,0.017470893051142976,0.015808362192900733,0.006971772581560929,0.10257839618198462,0.010654788219225131,0.19718561779800906,0.15137436459621312,1
NGC6779,20-22.5,5000,0.09781414623822172,0.09174136513373081,0.09214583146135105,0.08623185703407973,27.547756734424176,0.00031411846357003056,101.6941176050626,0.019521243850972512,3
NGC6809,18.5-21,5000,0.26513460333256617,0.02153216065691181,0.005174809916157907,0.0036894826927358106,0.019804961693540696,0.00018676075123228087,0.048529235129205435,0.005720725311391123,1
NGC6934,20.1-21.4,5000,0.3030412147067841,0.28770896647959854,0.27629993409508447,0.26056748169935395,26.89690888318514,4.534463307563315e-05,99.62878254480789,0.014648305768424776,3
NGC6981,20.5-22.0,5000,0.3930018479949722,0.042408924576654,0.009205448082848993,0.006636110082945445,0.02359205174118211,0.00025496876200697206,0.05671161899447771,0.013767529765631356,1
NGC7078,20.5-21.5,5000,0.6608806827763365,0.049563035531780014,0.049579868703266715,0.02222806894893498,0.07528912574692669,0.005587084969383451,0.1337395172540758,0.002033517970010042,1
NGC7079,19.8-21.8,5000,0.4213192903518024,0.025284199872352416,0.06817830774536714,0.01906115487862636,0.16306447052529377,0.0656413407421051,0.2571192460216847,0.029757424192998125,1
NGC7099,19-21.5,5000,0.14972189860358182,0.10564846196346915,0.1562827592176121,0.1245506665528971,3.4702454138137746,0.02017939228651729,9.978385828769031,0.02329433369509772,3
NGC7089,20-21,5000,0.6912651776234973,0.038534695945881964,0.08231596706715147,0.019727462854558585,0.11954828545947233,0.06252256143510719,0.17863456262250485,0.02506754548075689,1
NGC1261,20-21.8,5000,0.3180556500348824,0.2614274725099417,0.31206960244254034,0.2555495496595269,5.549868480902536,0.015596134991560743,15.450315050204724,0.007777007336874959,3
NGC1851,20-21.1,5000,0.7033051692826537,0.041013476876203867,0.08682990246026329,0.013070381222226882,0.12390075463812715,0.08400872032213319,0.15982139861737438,0.010362882170127251,1
NGC2298,20-21.5,3340,0.016096824133982942,0.01138967265234578,0.3845727438915643,0.045317461156465864,56.6424197071861,5.338438537894591,175.73887207728131,0.005541107235691694,2
NGC5053,20.5-22.5,2135,0.1769999541685685,0.14843974202717589,0.16748115674026892,0.14194627953576808,6.849924430016283,0.004497829508607174,23.416195164041362,0.0035573549478213774,3
NGC5286,20-21.2,5000,0.6398402523236305,0.042998827817187765,0.09803918567735656,0.016349982559198572,0.1539436528544811,0.09797327421342181,0.20835451310552566,0.016283468401404783,1
NGC6681,20-22.2,5000,0.1773044140996221,0.14284607735303287,0.1827122782552213,0.14827293398094327,5.971906273073043,0.007933414022655553,16.60738408435124,0.01861781127586975,3
NGC6637,20-21.2,5000,0.35348250305530066,0.20774627159398226,0.1600781780338353,0.1703434261857612,9.109586160697072,0.0009840475643384358,29.867090158638206,0.006206647285632373,3
NGC5897,20-22.2,5000,0.04187514891303813,0.013007304024202176,0.40201642443697877,0.03067259129768654,14.722505233613475,4.637457356603131,20.39329276106051,0.003233589986941408,2
NGC5466,20-22.4,3353,0.3777952614651531,0.02957244775014892,0.02057019848051717,0.011408487062973536,0.05533269122528766,0.0007796272797974714,0.11361816235450113,0.0006672089406035619,1
NGC5904,18-20,5000,0.29326823536524504,0.2351415415988583,0.29977644809796855,0.24601302880417314,4.709007157480686,0.051490213173886364,11.468916272112708,0.03576737501583982,3
